image,top_left_x,top_left_y,bottom_right_x,bottom_right_y
user_11/A0.jpg,113,9,223,119
user_11/A1.jpg,117,17,217,117
user_11/A2.jpg,115,29,215,129
user_11/A3.jpg,108,20,218,130
user_11/A4.jpg,93,13,213,133
user_11/A5.jpg,136,12,266,142
user_11/A6.jpg,136,10,266,140
user_11/A7.jpg,139,17,259,137
user_11/A8.jpg,142,37,252,147
user_11/A9.jpg,143,39,253,149
user_11/B0.jpg,104,3,264,163
user_11/B1.jpg,104,3,264,163
user_11/B2.jpg,112,10,262,160
user_11/B3.jpg,112,10,262,160
user_11/B4.jpg,118,17,258,157
user_11/B5.jpg,106,13,276,183
user_11/B6.jpg,106,13,276,183
user_11/B7.jpg,106,15,276,185
user_11/B8.jpg,112,26,272,186
user_11/B9.jpg,116,32,276,192
user_11/C0.jpg,168,35,298,165
user_11/C1.jpg,168,36,298,166
user_11/C2.jpg,166,36,296,166
user_11/C3.jpg,166,36,296,166
user_11/C4.jpg,166,36,296,166
user_11/C5.jpg,155,46,285,176
user_11/C6.jpg,157,46,287,176
user_11/C7.jpg,160,51,290,181
user_11/C8.jpg,166,54,296,184
user_11/C9.jpg,170,55,300,185
user_11/D0.jpg,117,26,307,216
user_11/D1.jpg,117,14,307,204
user_11/D2.jpg,77,10,267,200
user_11/D3.jpg,68,32,268,232
user_11/D4.jpg,112,25,312,225
user_11/D5.jpg,79,3,269,193
user_11/D6.jpg,91,6,261,176
user_11/D7.jpg,92,5,262,175
user_11/D8.jpg,92,5,262,175
user_11/D9.jpg,92,5,262,175
user_11/E0.jpg,131,38,261,168
user_11/E1.jpg,132,39,262,169
user_11/E2.jpg,132,39,262,169
user_11/E3.jpg,148,42,278,172
user_11/E4.jpg,151,51,271,171
user_11/E5.jpg,81,68,221,208
user_11/E6.jpg,83,67,223,207
user_11/E7.jpg,84,61,224,201
user_11/E8.jpg,79,61,219,201
user_11/E9.jpg,84,68,214,198
user_11/F0.jpg,166,13,306,153
user_11/F1.jpg,164,13,304,153
user_11/F2.jpg,159,14,299,154
user_11/F3.jpg,168,10,308,150
